# x(μm) n(m^-3) p(m^-3) T_n(K) T_p(K) v_n(m/s) v_p(m/s) P_grad_n P_grad_p heat_n heat_p
0.000000e+00 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 0.000000e+00 -0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00
2.013423e-02 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 8.431306e+02 -6.323480e+02 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.026846e-02 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.684762e+03 -1.263572e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
6.040268e-02 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 2.523398e+03 -1.892549e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
8.053691e-02 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 3.357548e+03 -2.518161e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
1.006711e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 4.185728e+03 -3.139296e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
1.208054e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 5.006466e+03 -3.754850e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
1.409396e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 5.818303e+03 -4.363727e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
1.610738e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 6.619795e+03 -4.964846e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
1.812081e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 7.409517e+03 -5.557138e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.013423e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 8.186065e+03 -6.139549e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.214765e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 8.948059e+03 -6.711044e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.416107e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 9.694143e+03 -7.270608e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.617450e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.042299e+04 -7.817244e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
2.818792e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.113331e+04 -8.349982e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.020134e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.182383e+04 -8.867873e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.221477e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.249333e+04 -9.369998e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.422819e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.314062e+04 -9.855464e+03 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.624161e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.376454e+04 -1.032341e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
3.825503e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.436399e+04 -1.077299e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.026846e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.493791e+04 -1.120343e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.228188e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.548526e+04 -1.161394e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.429530e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.600508e+04 -1.200381e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.630872e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.649644e+04 -1.237233e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
4.832215e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.695848e+04 -1.271886e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
5.033557e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.739036e+04 -1.304277e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
5.234899e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.779132e+04 -1.334349e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
5.436242e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.816066e+04 -1.362049e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
5.637584e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.849770e+04 -1.387327e+04 -0.000000e+00 -0.000000e+00 -0.000000e+00 -0.000000e+00
5.838926e-01 1.000000e+24 1.000000e+20 3.200000e+02 3.150000e+02 1.880185e+04 -1.410139e+04 2.184829e+03 -2.329239e+01 -2.302711e+03 -1.917169e+03
6.040268e-01 1.000000e+22 1.000000e+22 3.507028e+02 3.405622e+02 1.907258e+04 -1.430443e+04 2.184586e+03 -2.348639e+01 -2.566174e+03 -2.127939e+03
6.241611e-01 1.000000e+22 1.000000e+22 3.542157e+02 3.433725e+02 1.930939e+04 -1.448204e+04 -4.846408e-01 -3.877127e-01 -5.265359e+02 -4.212287e+02
6.442953e-01 1.000000e+22 1.000000e+22 3.577233e+02 3.461786e+02 1.951187e+04 -1.463391e+04 -4.836232e-01 -3.868985e-01 -5.254303e+02 -4.203442e+02
6.644295e-01 1.000000e+22 1.000000e+22 3.612214e+02 3.489771e+02 1.967967e+04 -1.475975e+04 -4.820084e-01 -3.856067e-01 -5.236759e+02 -4.189407e+02
6.845638e-01 1.000000e+22 1.000000e+22 3.647056e+02 3.517645e+02 1.981247e+04 -1.485935e+04 -4.797984e-01 -3.838387e-01 -5.212749e+02 -4.170199e+02
7.046980e-01 1.000000e+22 1.000000e+22 3.681717e+02 3.545374e+02 1.991004e+04 -1.493253e+04 -4.769960e-01 -3.815968e-01 -5.182302e+02 -4.145842e+02
7.248322e-01 1.000000e+22 1.000000e+22 3.716154e+02 3.572923e+02 1.997222e+04 -1.497917e+04 -4.736046e-01 -3.788837e-01 -5.145457e+02 -4.116365e+02
7.449664e-01 1.000000e+22 1.000000e+22 3.750323e+02 3.600259e+02 1.999889e+04 -1.499917e+04 -4.696285e-01 -3.757028e-01 -5.102258e+02 -4.081806e+02
7.651007e-01 1.000000e+22 1.000000e+22 3.784184e+02 3.627347e+02 1.999000e+04 -1.499250e+04 -4.650724e-01 -3.720580e-01 -5.052759e+02 -4.042207e+02
7.852349e-01 1.000000e+22 1.000000e+22 3.817693e+02 3.654155e+02 1.994557e+04 -1.495917e+04 -4.599422e-01 -3.679537e-01 -4.997021e+02 -3.997617e+02
8.053691e-01 1.000000e+22 1.000000e+22 3.850811e+02 3.680649e+02 1.986567e+04 -1.489925e+04 -4.542440e-01 -3.633952e-01 -4.935113e+02 -3.948091e+02
8.255034e-01 1.000000e+22 1.000000e+22 3.883495e+02 3.706796e+02 1.975046e+04 -1.481284e+04 -4.479849e-01 -3.583879e-01 -4.867112e+02 -3.893690e+02
8.456376e-01 1.000000e+22 1.000000e+22 3.915706e+02 3.732564e+02 1.960013e+04 -1.470010e+04 -4.411727e-01 -3.529381e-01 -4.793101e+02 -3.834481e+02
8.657718e-01 1.000000e+22 1.000000e+22 3.947403e+02 3.757922e+02 1.941495e+04 -1.456121e+04 -4.338157e-01 -3.470526e-01 -4.713171e+02 -3.770537e+02
8.859060e-01 1.000000e+22 1.000000e+22 3.978548e+02 3.782838e+02 1.919525e+04 -1.439644e+04 -4.259231e-01 -3.407385e-01 -4.627422e+02 -3.701938e+02
9.060403e-01 1.000000e+22 1.000000e+22 4.009102e+02 3.807282e+02 1.894142e+04 -1.420607e+04 -4.175045e-01 -3.340036e-01 -4.535960e+02 -3.628768e+02
9.261745e-01 1.000000e+22 1.000000e+22 4.039027e+02 3.831222e+02 1.865392e+04 -1.399044e+04 -4.085705e-01 -3.268564e-01 -4.438896e+02 -3.551117e+02
9.463087e-01 1.000000e+22 1.000000e+22 4.068287e+02 3.854630e+02 1.833325e+04 -1.374994e+04 -3.991320e-01 -3.193056e-01 -4.336352e+02 -3.469081e+02
9.664430e-01 1.000000e+22 1.000000e+22 4.096845e+02 3.877476e+02 1.797999e+04 -1.348499e+04 -3.892006e-01 -3.113605e-01 -4.228453e+02 -3.382762e+02
9.865772e-01 1.000000e+22 1.000000e+22 4.124667e+02 3.899733e+02 1.759475e+04 -1.319607e+04 -3.787887e-01 -3.030309e-01 -4.115333e+02 -3.292266e+02
1.006711e+00 1.000000e+22 1.000000e+22 4.151716e+02 3.921373e+02 1.717824e+04 -1.288368e+04 -3.679091e-01 -2.943272e-01 -3.997132e+02 -3.197705e+02
1.026846e+00 1.000000e+22 1.000000e+22 4.177962e+02 3.942369e+02 1.673118e+04 -1.254839e+04 -3.565751e-01 -2.852601e-01 -3.873995e+02 -3.099196e+02
1.046980e+00 1.000000e+22 1.000000e+22 4.203370e+02 3.962696e+02 1.625437e+04 -1.219078e+04 -3.448009e-01 -2.758408e-01 -3.746075e+02 -2.996860e+02
1.067114e+00 1.000000e+22 1.000000e+22 4.227909e+02 3.982327e+02 1.574867e+04 -1.181150e+04 -3.326010e-01 -2.660808e-01 -3.613529e+02 -2.890823e+02
1.087248e+00 1.000000e+22 1.000000e+22 4.251550e+02 4.001240e+02 1.521496e+04 -1.141122e+04 -3.199904e-01 -2.559923e-01 -3.476521e+02 -2.781217e+02
