# x(μm) V(V) n(m^-3) p(m^-3) Nd(m^-3) Na(m^-3)
0.000000e+00 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.005025e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.010050e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.015075e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.020101e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.025126e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.030151e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.035176e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.040201e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.045226e-02 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.005025e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.105528e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.206030e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.306533e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.407035e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.507538e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.608040e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.708543e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.809045e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.909548e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.010050e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.110553e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.211055e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.311558e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.412060e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.512563e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.613065e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.713568e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.814070e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
2.914573e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.015075e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.115578e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.216080e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.316583e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.417085e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.517588e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.618090e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.718593e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.819095e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
3.919598e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.020101e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.120603e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.221106e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.321608e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.422111e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.522613e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.623116e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.723618e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.824121e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
4.924623e-01 -4.000000e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.025126e-01 -7.959799e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.125628e-01 -7.798995e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.226131e-01 -7.638191e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.326633e-01 -7.477387e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.427136e-01 -7.316583e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.527638e-01 -7.155779e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.628141e-01 -6.994975e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.728643e-01 -6.834171e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.829146e-01 -6.673367e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
5.929648e-01 -6.512563e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.030151e-01 -6.351759e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.130653e-01 -6.190955e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.231156e-01 -6.030151e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.331658e-01 -5.869347e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.432161e-01 -5.708543e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.532663e-01 -5.547739e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.633166e-01 -5.386935e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.733668e-01 -5.226131e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.834171e-01 -5.065327e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
6.934673e-01 -4.904523e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.035176e-01 -4.743719e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.135678e-01 -4.582915e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.236181e-01 -4.422111e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.336683e-01 -4.261307e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.437186e-01 -4.100503e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.537688e-01 -3.939698e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.638191e-01 -3.778894e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.738693e-01 -3.618090e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.839196e-01 -3.457286e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
7.939698e-01 -3.296482e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.040201e-01 -3.135678e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.140704e-01 -2.974874e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.241206e-01 -2.814070e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.341709e-01 -2.653266e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.442211e-01 -2.492462e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.542714e-01 -2.331658e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.643216e-01 -2.170854e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.743719e-01 -2.010050e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.844221e-01 -1.849246e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
8.944724e-01 -1.688442e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.045226e-01 -1.527638e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.145729e-01 -1.366834e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.246231e-01 -1.206030e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.346734e-01 -1.045226e-01 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.447236e-01 -8.844221e-02 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.547739e-01 -7.236181e-02 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.648241e-01 -5.628141e-02 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.748744e-01 -4.020101e-02 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.849246e-01 -2.412060e-02 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
9.949749e-01 -8.040201e-03 1.817583e+27 1.180555e+27 1.000000e+25 1.000000e+20
1.005025e+00 8.040201e-03 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.015075e+00 2.412060e-02 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.025126e+00 4.020101e-02 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.035176e+00 5.628141e-02 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.045226e+00 7.236181e-02 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.055276e+00 8.844221e-02 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.065327e+00 1.045226e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.075377e+00 1.206030e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.085427e+00 1.366834e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.095477e+00 1.527638e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.105528e+00 1.688442e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.115578e+00 1.849246e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.125628e+00 2.010050e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.135678e+00 2.170854e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.145729e+00 2.331658e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.155779e+00 2.492462e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.165829e+00 2.653266e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.175879e+00 2.814070e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.185930e+00 2.974874e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.195980e+00 3.135678e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.206030e+00 3.296482e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.216080e+00 3.457286e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.226131e+00 3.618090e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.236181e+00 3.778894e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.246231e+00 3.939698e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.256281e+00 4.100503e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.266332e+00 4.261307e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.276382e+00 4.422111e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.286432e+00 4.582915e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.296482e+00 4.743719e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.306533e+00 4.904523e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.316583e+00 5.065327e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.326633e+00 5.226131e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.336683e+00 5.386935e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.346734e+00 5.547739e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
1.356784e+00 5.708543e-01 1.817583e+27 1.180555e+27 1.000000e+20 1.000000e+25
